category,parent_category,sentence_example,category_id,parent_category_id
"אמינה: לא נתפסת כנקמנית, אין חשש להאשמת שווא או העללה על הנאשם",אמינה,""" ראשית ברצוני להבהיר כי המתלוננת הותירה בעדותה בבית המשפט רושם חיובי ביותר, ואין לי כל ספק כי לא טפלה בזדון אישום שווא על המתלונן""",0,0
"אמינה: בהירה, פשוטה, עקבית, אותנטית, ללא הגזמה",אמינה,""" מהאמור לעיל עולה, כי גרסת המתלוננת מהימנה לחלוטין, ואין שום ספק שהמתלוננת העידה אמת בבית-המשפט""",1,0
אמינה בגלל חיזוק חיצוני,אמינה בזכות,""" מהימנותה של המתלוננת בהמשך לאמור לעיל, ולתמיכה בגרסת המתלוננת על ידי תיאורו של העד הניטרלי, ראמי, אבהיר כי עדותה של המתלוננת אמינה בעיניי""",2,1
אמינה בגלל שהנאשם לא אמין,אמינה בזכות,""" לאור העדות המהימנה של המתלוננת שנתמכה בראיות אחרות לעומת העדות הבלתי מהימנה של הנאשם, אני מאמץ את גרסת המתלוננת ביחס לאירועים נשוא כתב האישום במלואה""",3,1
"אמינה למרות שיש בעיות (למשל, עדות יחידה ובכל זאת מספקת)-יש פגמים אבל ההכרעה היא לטובת המתלוננ.ת",אמינה - אבל,,4,2
"עדות עם בעיות (אמינה אבל או אמינה אבל מעוררת תמיהות וספקות, אמינה אבל עדות יחידה לא מספקת) - אמינה אבל יש פגמים ולכן ההכרעה היא כנגד המתלוננ.ת",אמינה - אבל,""" המתלוננת מסרה גרסה זהה בעת חקירתה במשטרה וגם אם אמנם מסרה גרסה שונה בעניין זה לאמה, הרי שמדובר בעניין נקודתי ביותר ושולי יחסית, שאין בו כדי להפחית מהמהימנות החיובית הכללית שיש לייחס לעדותה""",5,2
"לא אמינה: לא עקבית, הציגה סתירות",לא אמינה ,,6,3
"לא אמינה: נתפסת כנקמנית, חשש להעללה או האשמת שווא",לא אמינה ,,7,3
"לא רלוונטי- עמדת הצדדים בנוגע להערכת המהימנות, הלכות כלליות בנוגע להערכת מהימנות, לא נוגע להערכת מהימנות כלל",not relevant,,8,4
