category,parent_category,sentence_example,category_id,parent_category_id
רושם אמין של המתלוננת :לא נקמנית. לא בדתה או המציאה ( מיתוסי אונס ברקע),אמינה,""" ראשית ברצוני להבהיר כי המתלוננת הותירה בעדותה בבית המשפט רושם חיובי ביותר, ואין לי כל ספק כי לא טפלה בזדון אישום שווא על המתלונן""",0,0
רושם אמין - אמינה: בהירה. פשוטה. אותנטית. (אין מיתוסים ברקע),אמינה,""" מהאמור לעיל עולה, כי גרסת המתלוננת מהימנה לחלוטין, ואין שום ספק שהמתלוננת העידה אמת בבית-המשפט""",1,0
אמינה בגלל חיזוקים חיצוניים,אמינה בזכות,""" מהימנותה של המתלוננת בהמשך לאמור לעיל, ולתמיכה בגרסת המתלוננת על ידי תיאורו של העד הניטרלי, ראמי, אבהיר כי עדותה של המתלוננת אמינה בעיניי""",2,1
 רושם אמין של המתלוננת לעומת הנאשם,אמינה בזכות,""" לאור העדות המהימנה של המתלוננת שנתמכה בראיות אחרות לעומת העדות הבלתי מהימנה של הנאשם, אני מאמץ את גרסת המתלוננת ביחס לאירועים נשוא כתב האישום במלואה""",3,1
אמינה עם בעיות (אולי לחבר לקטגוריה שלמעלה),אמינה - אבל,""" המתלוננת מסרה גרסה זהה בעת חקירתה במשטרה וגם אם אמנם מסרה גרסה שונה בעניין זה לאמה, הרי שמדובר בעניין נקודתי ביותר ושולי יחסית, שאין בו כדי להפחית מהמהימנות החיובית הכללית שיש לייחס לעדותה""",4,2
"""אמינה אבל""- העדה אמינה אבל אי אפשר להרשיע. מגוון סיבות (הרבה פעמים עדות יחידה)",אמינה - אבל,""" לענייננו, למרות שהעדפתי גרסתה של המתלוננת על פני גרסתו של הנאשם, הגעתי למסקנה כי בנסיבות המקרה, נוכח התנהלותה הלא שגרתית של המתלוננת עובר להגשת התלונה ולאחריה, לא יהיה זה בטוח לקבוע ממצאים עובדתיים מרשיעים בדבר אשמת הנאשם מעבר לכל ספק סביר על יסוד עדותה היחידה של המתלוננת""",5,2
לא אמינה כי לא עקבית/ לא אחידה. + הסבר,לא אמינה ,,6,3
לא אמינה כי נקמנית/לא אותנטית/ממציאה (מיתוסי אונס ברקע),לא אמינה ,,7,3
not relevant,not relevant,,8,4
